,category,sub,phase,high_level,mid_level,fine_level
370,Eclosednaturalforestccanopy,6,E,closed,natural,forestccanopy
371,Eclosednaturalicecave,6,E,closed,natural,icecave
372,Eopenmanmadecity,6,E,open,manmade,city
373,Eopenmanmadefarmhouse,6,E,open,manmade,farmhouse
374,Eopenmanmadesuburbs,6,E,open,manmade,suburbs
375,Eopennaturalgarden,6,E,open,natural,garden
376,Eopennaturallake,6,E,open,natural,lake
377,Eopennaturalmountains,6,E,open,natural,mountains
378,Esmallnottoolbowl,6,E,small,nottool,bowl
379,Esmallnottoolcupcake,6,E,small,nottool,cupcake
380,Esmallnottoolflowers,6,E,small,nottool,flowers
381,Esmalltooldrill,6,E,small,tool,drill
382,Esmalltoolhairbrush,6,E,small,tool,hairbrush
383,Esmalltoolwateringcan,6,E,small,tool,wateringcan
384,Rbignottoolchair,6,R,big,nottool,chair
385,Rbignottoollamppost,6,R,big,nottool,lamppost
386,Rbignottooltv,6,R,big,nottool,tv
387,Rbigtoolguitar,6,R,big,tool,guitar
388,Rbigtoolleafblower,6,R,big,tool,leafblower
389,Rbigtoolumbrella,6,R,big,tool,umbrella
390,Rclosedmanmadebathroom,6,R,closed,manmade,bathroom
391,Rclosedmanmadeconferencehall,6,R,closed,manmade,conferencehall
392,Rclosedmanmadelivingroom,6,R,closed,manmade,livingroom
393,Rclosednaturalcave,6,R,closed,natural,cave
394,Rclosednaturalforestccanopy,6,R,closed,natural,forestccanopy
395,Rclosednaturalicecave,6,R,closed,natural,icecave
396,Ropenmanmadecity,6,R,open,manmade,city
397,Ropenmanmadefarmhouse,6,R,open,manmade,farmhouse
398,Ropenmanmadesuburbs,6,R,open,manmade,suburbs
399,Ropennaturalgarden,6,R,open,natural,garden
400,Ropennaturallake,6,R,open,natural,lake
401,Ropennaturalmountains,6,R,open,natural,mountains
402,Rsmallnottoolbowl,6,R,small,nottool,bowl
403,Rsmallnottoolcupcake,6,R,small,nottool,cupcake
404,Rsmallnottoolflowers,6,R,small,nottool,flowers
405,Rsmalltooldrill,6,R,small,tool,drill
406,Rsmalltoolhairbrush,6,R,small,tool,hairbrush
407,Rsmalltoolwateringcan,6,R,small,tool,wateringcan
408,Dbignottoolchair,6,D,big,nottool,chair
409,Dbignottoollamppost,6,D,big,nottool,lamppost
410,Dbignottooltv,6,D,big,nottool,tv
411,Dbigtoolguitar,6,D,big,tool,guitar
412,Dbigtoolleafblower,6,D,big,tool,leafblower
413,Dbigtoolumbrella,6,D,big,tool,umbrella
414,Dclosedmanmadebathroom,6,D,closed,manmade,bathroom
415,Dclosedmanmadeconferencehall,6,D,closed,manmade,conferencehall
416,Dclosedmanmadelivingroom,6,D,closed,manmade,livingroom
417,Dclosednaturalcave,6,D,closed,natural,cave
418,Dclosednaturalforestccanopy,6,D,closed,natural,forestccanopy
419,Dclosednaturalicecave,6,D,closed,natural,icecave
420,Dopenmanmadecity,6,D,open,manmade,city
421,Dopenmanmadefarmhouse,6,D,open,manmade,farmhouse
422,Dopenmanmadesuburbs,6,D,open,manmade,suburbs
423,Dopennaturalgarden,6,D,open,natural,garden
424,Dopennaturallake,6,D,open,natural,lake
425,Dopennaturalmountains,6,D,open,natural,mountains
426,Dsmallnottoolbowl,6,D,small,nottool,bowl
427,Dsmallnottoolcupcake,6,D,small,nottool,cupcake
428,Dsmallnottoolflowers,6,D,small,nottool,flowers
429,Dsmalltooldrill,6,D,small,tool,drill
430,Dsmalltoolhairbrush,6,D,small,tool,hairbrush
431,Dsmalltoolwateringcan,6,D,small,tool,wateringcan
432,Ebignottoolchair,7,E,big,nottool,chair
433,Ebignottoollamppost,7,E,big,nottool,lamppost
434,Ebignottooltv,7,E,big,nottool,tv
435,Ebigtoolguitar,7,E,big,tool,guitar
436,Ebigtoolleafblower,7,E,big,tool,leafblower
437,Ebigtoolumbrella,7,E,big,tool,umbrella
438,Eclosedmanmadebathroom,7,E,closed,manmade,bathroom
439,Eclosedmanmadeconferencehall,7,E,closed,manmade,conferencehall
440,Eclosedmanmadelivingroom,7,E,closed,manmade,livingroom
441,Eclosednaturalcave,7,E,closed,natural,cave
442,Eclosednaturalforestccanopy,7,E,closed,natural,forestccanopy
443,Eclosednaturalicecave,7,E,closed,natural,icecave
444,Eopenmanmadecity,7,E,open,manmade,city
445,Eopenmanmadefarmhouse,7,E,open,manmade,farmhouse
446,Eopenmanmadesuburbs,7,E,open,manmade,suburbs
447,Eopennaturalgarden,7,E,open,natural,garden
448,Eopennaturallake,7,E,open,natural,lake
449,Eopennaturalmountains,7,E,open,natural,mountains
450,Esmallnottoolbowl,7,E,small,nottool,bowl
451,Esmallnottoolcupcake,7,E,small,nottool,cupcake
452,Esmallnottoolflowers,7,E,small,nottool,flowers
453,Esmalltooldrill,7,E,small,tool,drill
454,Esmalltoolhairbrush,7,E,small,tool,hairbrush
455,Esmalltoolwateringcan,7,E,small,tool,wateringcan
456,Rbignottoolchair,7,R,big,nottool,chair
457,Rbignottoollamppost,7,R,big,nottool,lamppost
458,Rbignottooltv,7,R,big,nottool,tv
459,Rbigtoolguitar,7,R,big,tool,guitar
460,Rbigtoolleafblower,7,R,big,tool,leafblower
461,Rbigtoolumbrella,7,R,big,tool,umbrella
462,Rclosedmanmadebathroom,7,R,closed,manmade,bathroom
463,Rclosedmanmadeconferencehall,7,R,closed,manmade,conferencehall
464,Rclosedmanmadelivingroom,7,R,closed,manmade,livingroom
465,Rclosednaturalcave,7,R,closed,natural,cave
466,Rclosednaturalforestccanopy,7,R,closed,natural,forestccanopy
467,Rclosednaturalicecave,7,R,closed,natural,icecave
468,Ropenmanmadecity,7,R,open,manmade,city
469,Ropenmanmadefarmhouse,7,R,open,manmade,farmhouse
470,Ropenmanmadesuburbs,7,R,open,manmade,suburbs
471,Ropennaturalgarden,7,R,open,natural,garden
472,Ropennaturallake,7,R,open,natural,lake
473,Ropennaturalmountains,7,R,open,natural,mountains
474,Rsmallnottoolbowl,7,R,small,nottool,bowl
475,Rsmallnottoolcupcake,7,R,small,nottool,cupcake
476,Rsmallnottoolflowers,7,R,small,nottool,flowers
477,Rsmalltooldrill,7,R,small,tool,drill
478,Rsmalltoolhairbrush,7,R,small,tool,hairbrush
479,Rsmalltoolwateringcan,7,R,small,tool,wateringcan
480,Dbignottoolchair,7,D,big,nottool,chair
481,Dbignottoollamppost,7,D,big,nottool,lamppost
482,Dbignottooltv,7,D,big,nottool,tv
483,Dbigtoolguitar,7,D,big,tool,guitar
484,Dbigtoolleafblower,7,D,big,tool,leafblower
485,Dbigtoolumbrella,7,D,big,tool,umbrella
